id,review
19995,Avatar is an overwhelming immersive spectacle. The state-of-the-art 3D technology draws us in but it is the vivid weirdness of Cameron's luridly imagined tropical other world that keeps us fascinated. I like this film and I have written many review for essay writing service. The special effects are so good here that you don't even notice them. It is eerie how Cameron has made it look and feel like he is just pointing a camera at the action.
19995,"It's cinema Jim but not as we know it.
So here it is then what has been in gestation in James Cameron's mind for over 12 years finally hit the silver screen towards the back end of 2009. Made for gazillions amount of cash Avatar went on to make a billion trillion in Worldwide receipts-and this before the rush rush release of DVD/BLU RAY sales are factored into the equation. The film and all its technical wizardry is quite simply a gargantuan piece of cinematic history. Released in 2d and 3d and probably some other format that I'm forgetting every advanced tool of the trade has been u... read the rest."
19995,"Rewatching Avatar confirmed my love for Pandora. Exquisite world-building by James Cameron memorable score by James Horner & jaw-dropping innovative visuals that complement wonderful storytelling.
How can people not remember these characters?! Super excited about tomorrow's IMAX screening of Avatar: The Way of Water!"
19995,*Excellent!!! *
19995,Technically its a very good film
19995,"This is another of these films for which I didn't get the memo. It undoubtedly has parallels with the ecological ravaging of Earth by mankind but for the most part it is just a fairly standard action romance that owes much of it's significance to it being an outstanding technical production. Sam Worthington is ""Jake"" a paraplegic solider who is tasked with assisting on a mission on a distant planet. By way of a bribe the authorities offer him surgery to restore his mobility if he uses an avatar machine to infiltrate the folks inhabiting the planet ""Pandora"". The more he explores this bright... read the rest."
285,Part 3 Jack is stuck in Davy Jones locker. While he is stuck the biggest war is being set to happen. Jack and the others try to free him from Davy Jones locker before the war comes. Very good movie as well. Kind of boring at times though.
285,"Now this is just far far too long. At ten minutes shy of three hours the story just isn't substantial enough to sustain it and I must confess to finding my attention dwindling a bit at various stages of the proceedings. Thankfully Geoffrey Rush has rejoined the cast as the whole ensemble must now risk life and limb - and sail to the very edge of the world - to save ""Jack"" (Johnny Depp) from oblivion and thwart the seemingly unstoppable ""Lord Beckett"" (Tom Hollander). How to do this? Well they must galvanise the entire global pirate community and that means the dreaded ""Sao Feng"" (Chow Yun-Fat... read the rest."
206647,In hindsight my excitement for Spectre seems a bit foolish. After Skyfall director Sam Mendes openly stated that he wouldn’t direct another Bond movie. And even so Skyfall wasn’t the best of the new Bond films by any measure – dragging on for much too long. But somehow I got sucked into the hype of Mendes’ vision for an homage to the classic Bond with that somewhat iconic poster of Craig mimicking Roger Moore and trailers the emphasized a kind of retro re-visitation of some old villains and themes. But Spectre is none of those th... read the rest.
206647,Well cinema’s most treasured and resilient British spy guy is back as the legendary James Bond makes his twenty-fourth outing on the big screen in the highly anticipated and slickly-made Spectre. Worldwide Agent 007 fans understandably maintain their embedded expectations and vision as to what calculating and cunning mission their suave and sophisticated gun-toting martini-sipping espionage thrill-seeker will encounter in his latest globe-trotting episode. Whatever Bond enthusiasts have in mind for the future twenty-fifth entry of the “licensed to kill” Lothario they should simply settle for... read the rest.
206647,"A ""correct"" Bond movie. All the expected stereotypes are included Waltz is an OK bad guy and the intro scene is something really impressive.
Nothing else really new ..."
206647,"Not your usual Bond movie but still a good entertainer.
What I liked from a couple of last Bond movies was they were off the regular 007 style like not overly rely on spy's special gadgets. This change has been since the day one of Daniel Craig as a famous British spy James Bond. Anyway he's the most fittest (muscular) Bond I've ever seen and he's celebrating 10 year anniversary with this film release. But the question is whether he to do another film or done with the franchise. The doubt after the confusing end of this film.
The end was quite clear on the story perspective so I ki... read the rest."
